EXECTIME 4 3 2 8 8525008
PARTITION 4 3 8 25213 3203
EXECTIME 4 3 2 9 8525008
EXECTIME 4 3 2 10 8525008
PARTITION 4 3 9 26385 3357
PARTITION 4 3 10 25633 3254
EXECTIME 4 3 2 11 8525008
PARTITION 4 3 11 26104 3317
EXECTIME 4 3 2 7 8525056
PARTITION 4 3 7 26158 3324
EXECTIME 4 3 2 2 8525008
PARTITION 4 3 2 27153 3445
EXECTIME 4 3 2 6 8525008
PARTITION 4 3 6 25629 3252
EXECTIME 4 3 2 4 8525008
PARTITION 4 3 4 27154 3446
EXECTIME 4 3 2 5 8525008
PARTITION 4 3 5 27152 3445
EXECTIME 4 3 2 3 8525008
PARTITION 4 3 3 27154 3446
EXECTIME 4 3 2 1 8525008
PARTITION 4 3 1 27155 3446
EXECTIME 4 3 2 0 8525008
PARTITION 4 3 0 27154 3446
